"business_id","day_of_week","opening_time_hours","closing_time_hours"
"O_X3PGhk3Y5JWVi866qlJg","Saturday","660","1080"
"O_X3PGhk3Y5JWVi866qlJg","Thursday","660","1080"
"O_X3PGhk3Y5JWVi866qlJg","Monday","660","1080"
"O_X3PGhk3Y5JWVi866qlJg","Tuesday","660","1080"
"O_X3PGhk3Y5JWVi866qlJg","Wednesday","660","1080"
"O_X3PGhk3Y5JWVi866qlJg","Friday","660","1080"
"O_X3PGhk3Y5JWVi866qlJg","Sunday","660","1080"
"7lbvsGKzhjuX3oJtaXJvOg","Saturday","600","1260"
"7lbvsGKzhjuX3oJtaXJvOg","Thursday","600","1260"
"7lbvsGKzhjuX3oJtaXJvOg","Monday","600","1260"
"7lbvsGKzhjuX3oJtaXJvOg","Tuesday","600","1260"
"7lbvsGKzhjuX3oJtaXJvOg","Wednesday","600","1260"
"7lbvsGKzhjuX3oJtaXJvOg","Friday","600","1260"
"7lbvsGKzhjuX3oJtaXJvOg","Sunday","660","1080"
"gjxoKVsRJwEoa8zd9XxlAw","Saturday","360","1140"
"gjxoKVsRJwEoa8zd9XxlAw","Thursday","360","1140"
"gjxoKVsRJwEoa8zd9XxlAw","Monday","360","1140"
"gjxoKVsRJwEoa8zd9XxlAw","Tuesday","360","1140"
"gjxoKVsRJwEoa8zd9XxlAw","Wednesday","360","1140"
"gjxoKVsRJwEoa8zd9XxlAw","Friday","360","1140"
"gjxoKVsRJwEoa8zd9XxlAw","Sunday","360","1140"
"ShUDf64NVkwCe8izdUbYuw","Saturday","360","360"
"ShUDf64NVkwCe8izdUbYuw","Thursday","360","360"
"ShUDf64NVkwCe8izdUbYuw","Monday","360","360"
"ShUDf64NVkwCe8izdUbYuw","Tuesday","360","360"
"ShUDf64NVkwCe8izdUbYuw","Wednesday","360","360"
"ShUDf64NVkwCe8izdUbYuw","Friday","360","360"
"ShUDf64NVkwCe8izdUbYuw","Sunday","1200","180"
"mQfT3JYu18HN22DVylcE7A","Saturday","480","870"
"mQfT3JYu18HN22DVylcE7A","Thursday","450","930"
"mQfT3JYu18HN22DVylcE7A","Monday","450","930"
"mQfT3JYu18HN22DVylcE7A","Tuesday","450","930"
"mQfT3JYu18HN22DVylcE7A","Wednesday","450","930"
"mQfT3JYu18HN22DVylcE7A","Friday","450","930"
"cqXv3w9Mf-aVi4PPRspfFQ","Saturday","600","1140"
"cqXv3w9Mf-aVi4PPRspfFQ","Thursday","600","1140"
"cqXv3w9Mf-aVi4PPRspfFQ","Monday","600","1140"
"cqXv3w9Mf-aVi4PPRspfFQ","Tuesday","600","1140"
"cqXv3w9Mf-aVi4PPRspfFQ","Wednesday","600","1140"
"cqXv3w9Mf-aVi4PPRspfFQ","Friday","600","1140"
"cqXv3w9Mf-aVi4PPRspfFQ","Sunday","660","1020"
"MiVcQsXp3TYUmeD7FSa-hA","Saturday","660","900"
"MiVcQsXp3TYUmeD7FSa-hA","Thursday","480","960"
"MiVcQsXp3TYUmeD7FSa-hA","Monday","480","960"
"MiVcQsXp3TYUmeD7FSa-hA","Tuesday","480","960"
"MiVcQsXp3TYUmeD7FSa-hA","Wednesday","480","960"
"MiVcQsXp3TYUmeD7FSa-hA","Friday","480","960"
"2agDSZF593OlXDj7SZtVxw","Saturday","540","1020"
"2agDSZF593OlXDj7SZtVxw","Thursday","540","1140"
"2agDSZF593OlXDj7SZtVxw","Monday","540","1080"
"2agDSZF593OlXDj7SZtVxw","Tuesday","540","1140"
"2agDSZF593OlXDj7SZtVxw","Wednesday","540","840"
"2agDSZF593OlXDj7SZtVxw","Friday","540","840"
"ClluhYAaVzuoha89uJmr7g","Saturday","480","1080"
"ClluhYAaVzuoha89uJmr7g","Thursday","420","1200"
"ClluhYAaVzuoha89uJmr7g","Monday","420","1200"
"ClluhYAaVzuoha89uJmr7g","Tuesday","420","1200"
"ClluhYAaVzuoha89uJmr7g","Wednesday","420","1200"
"ClluhYAaVzuoha89uJmr7g","Friday","420","1200"
"ClluhYAaVzuoha89uJmr7g","Sunday","600","960"
"6fvsIZmmecvphJDiuDFR9w","Saturday","540","1260"
"6fvsIZmmecvphJDiuDFR9w","Thursday","540","1260"
"6fvsIZmmecvphJDiuDFR9w","Monday","540","1260"
"6fvsIZmmecvphJDiuDFR9w","Tuesday","540","1260"
"6fvsIZmmecvphJDiuDFR9w","Wednesday","540","1260"
"6fvsIZmmecvphJDiuDFR9w","Friday","540","1260"
"6fvsIZmmecvphJDiuDFR9w","Sunday","600","1080"
"6zXaBSWYQThXT5z9IDY8lw","Saturday","600","1140"
"6zXaBSWYQThXT5z9IDY8lw","Thursday","600","1140"
"6zXaBSWYQThXT5z9IDY8lw","Monday","600","1140"
"6zXaBSWYQThXT5z9IDY8lw","Tuesday","600","1140"
"6zXaBSWYQThXT5z9IDY8lw","Wednesday","600","1140"
"6zXaBSWYQThXT5z9IDY8lw","Friday","600","1140"
"6zXaBSWYQThXT5z9IDY8lw","Sunday","660","960"
"W0eocyGliMbg8NScqERaiA","Saturday","540","960"
"W0eocyGliMbg8NScqERaiA","Thursday","960","60"
"W0eocyGliMbg8NScqERaiA","Tuesday","960","1320"
"W0eocyGliMbg8NScqERaiA","Wednesday","960","0"
"W0eocyGliMbg8NScqERaiA","Friday","960","120"
"W0eocyGliMbg8NScqERaiA","Sunday","540","1080"
"J8T6Fu7RSczrflZ5rC6wvQ","Saturday","360","330"
"J8T6Fu7RSczrflZ5rC6wvQ","Thursday","360","330"
